time_min,time_hours,S_mean,S_median,S_q25,S_q75,S_min,S_max,S_std,A_mean,A_median,A_q25,A_q75,A_min,A_max,A_std,Ap_c_mean,Ap_c_median,Ap_c_q25,Ap_c_q75,Ap_c_min,Ap_c_max,Ap_c_std,Ap_n_mean,Ap_n_median,Ap_n_q25,Ap_n_q75,Ap_n_min,Ap_n_max,Ap_n_std,r_mean,r_median,r_q25,r_q75,r_min,r_max,r_std,R_mean,R_median,R_q25,R_q75,R_min,R_max,R_std,f_mean,f_median,f_q25,f_q75,f_min,f_max,f_std,F_mean,F_median,F_q25,F_q75,F_min,F_max,F_std,a_mean,a_median,a_q25,a_q75,a_min,a_max,a_std,total_STAT1_mean,total_pSTAT1_mean
0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,NaN,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,NaN,100.0,100.0,100.0,100.0,100.0,100.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,NaN,10101.0,101.0
2.8857715430861726,0.04809619238476954,947.0,947.0,947.0,947.0,947.0,947.0,NaN,1.7411865110110538,1.7411865110110538,1.7411865110110538,1.7411865110110538,1.7411865110110538,1.7411865110110538,NaN,9975.258813488988,9975.258813488988,9975.258813488988,9975.258813488988,9975.258813488988,9975.258813488988,NaN,321.0,321.0,321.0,321.0,321.0,321.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,NaN,257.0,257.0,257.0,257.0,257.0,257.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,NaN,28.0,28.0,28.0,28.0,28.0,28.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,NaN,10298.0,10296.258813488988
5.771543086172345,0.09619238476953908,892.0,892.0,892.0,892.0,892.0,892.0,NaN,1.7555180516026416,1.7555180516026416,1.7555180516026416,1.7555180516026416,1.7555180516026416,1.7555180516026416,NaN,9879.244481948397,9879.244481948397,9879.244481948397,9879.244481948397,9879.244481948397,9879.244481948397,NaN,578.0,578.0,578.0,578.0,578.0,578.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,NaN,560.0,560.0,560.0,560.0,560.0,560.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,NaN,55.0,55.0,55.0,55.0,55.0,55.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,NaN,10459.0,10457.244481948397
8.657314629258517,0.14428857715430862,841.0,841.0,841.0,841.0,841.0,841.0,NaN,0.7292043480726943,0.7292043480726943,0.7292043480726943,0.7292043480726943,0.7292043480726943,0.7292043480726943,NaN,9820.270795651928,9820.270795651928,9820.270795651928,9820.270795651928,9820.270795651928,9820.270795651928,NaN,785.0,785.0,785.0,785.0,785.0,785.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,NaN,792.0,792.0,792.0,792.0,792.0,792.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,NaN,81.0,81.0,81.0,81.0,81.0,81.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,NaN,10606.0,10605.270795651928
11.54308617234469,0.19238476953907815,800.0,800.0,800.0,800.0,800.0,800.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,NaN,9826.724730637552,9826.724730637552,9826.724730637552,9826.724730637552,9826.724730637552,9826.724730637552,NaN,947.2752693624477,947.2752693624477,947.2752693624477,947.2752693624477,947.2752693624477,947.2752693624477,NaN,1.0,1.0,1.0,1.0,1.0,1.0,NaN,1033.0,1033.0,1033.0,1033.0,1033.0,1033.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,NaN,104.0,104.0,104.0,104.0,104.0,104.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,NaN,10775.0,10774.0
14.428857715430862,0.24048096192384769,755.9999999999999,755.9999999999999,755.9999999999999,755.9999999999999,755.9999999999999,755.9999999999999,NaN,2.246440041090398,2.246440041090398,2.246440041090398,2.246440041090398,2.246440041090398,2.246440041090398,NaN,9871.75355995891,9871.75355995891,9871.75355995891,9871.75355995891,9871.75355995891,9871.75355995891,NaN,1046.0,1046.0,1046.0,1046.0,1046.0,1046.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,NaN,1236.0,1236.0,1236.0,1236.0,1236.0,1236.0,NaN,2.0,2.0,2.0,2.0,2.0,2.0,NaN,154.0,154.0,154.0,154.0,154.0,154.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,NaN,10920.0,10917.75355995891
17.314629258517034,0.28857715430861725,716.0,716.0,716.0,716.0,716.0,716.0,NaN,3.512918291666855,3.512918291666855,3.512918291666855,3.512918291666855,3.512918291666855,3.512918291666855,NaN,9919.487081708332,9919.487081708332,9919.487081708332,9919.487081708332,9919.487081708332,9919.487081708332,NaN,1154.0,1154.0,1154.0,1154.0,1154.0,1154.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,NaN,1444.0,1444.0,1444.0,1444.0,1444.0,1444.0,NaN,2.0,2.0,2.0,2.0,2.0,2.0,NaN,195.0,195.0,195.0,195.0,195.0,195.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,NaN,11076.999999999998,11073.487081708332
20.200400801603205,0.3366733466933868,670.0,670.0,670.0,670.0,670.0,670.0,NaN,1.105621737106858,1.105621737106858,1.105621737106858,1.105621737106858,1.105621737106858,1.105621737106858,NaN,9981.894378262894,9981.894378262894,9981.894378262894,9981.894378262894,9981.894378262894,9981.894378262894,NaN,1247.0,1247.0,1247.0,1247.0,1247.0,1247.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,NaN,1650.0,1650.0,1650.0,1650.0,1650.0,1650.0,NaN,3.0,3.0,3.0,3.0,3.0,3.0,NaN,278.0,278.0,278.0,278.0,278.0,278.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,NaN,11230.0,11228.894378262894
23.08617234468938,0.3847695390781563,633.0,633.0,633.0,633.0,633.0,633.0,NaN,3.931114037441526,3.931114037441526,3.931114037441526,3.931114037441526,3.931114037441526,3.931114037441526,NaN,10084.068885962559,10084.068885962559,10084.068885962559,10084.068885962559,10084.068885962559,10084.068885962559,NaN,1290.0,1290.0,1290.0,1290.0,1290.0,1290.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,NaN,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,NaN,3.0,3.0,3.0,3.0,3.0,3.0,NaN,345.0,345.0,345.0,345.0,345.0,345.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,NaN,11378.0,11374.068885962559
25.971943887775552,0.43286573146292584,589.0,589.0,589.0,589.0,589.0,589.0,NaN,2.5826127112087756,2.5826127112087756,2.5826127112087756,2.5826127112087756,2.5826127112087756,2.5826127112087756,NaN,10169.417387288791,10169.417387288791,10169.417387288791,10169.417387288791,10169.417387288791,10169.417387288791,NaN,1362.0,1362.0,1362.0,1362.0,1362.0,1362.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,NaN,1713.0,1713.0,1713.0,1713.0,1713.0,1713.0,NaN,3.0,3.0,3.0,3.0,3.0,3.0,NaN,420.0,420.0,420.0,420.0,420.0,420.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,NaN,11534.0,11531.417387288791
