time_min,time_hours,IRF1_mRNA_sim1,IRF1_mRNA_sim2,IRF1_mRNA_sim3,IRF1_mRNA_sim4,IRF1_mRNA_sim5,IRF1_mRNA_sim6,IRF1_mRNA_sim7,IRF1_mRNA_sim8,IRF1_mRNA_sim9,IRF1_mRNA_sim10,IRF1_mRNA_sim11,IRF1_mRNA_sim12,IRF1_mRNA_sim13,IRF1_mRNA_sim14,IRF1_mRNA_sim15,IRF1_mRNA_sim16,IRF1_mRNA_sim17,IRF1_mRNA_sim18,IRF1_mRNA_sim19,IRF1_mRNA_sim20,IRF1_mRNA_sim21,IRF1_mRNA_sim22,IRF1_mRNA_sim23,IRF1_mRNA_sim24,IRF1_mRNA_sim25,IRF1_mRNA_sim26,IRF1_mRNA_sim27,IRF1_mRNA_sim28,IRF1_mRNA_sim29,IRF1_mRNA_sim30,IRF1_mRNA_sim31,IRF1_mRNA_sim32,IRF1_mRNA_sim33,IRF1_mRNA_sim34,IRF1_mRNA_sim35,IRF1_mRNA_sim36,IRF1_mRNA_sim37,IRF1_mRNA_sim38,IRF1_mRNA_sim39,IRF1_mRNA_sim40,IRF1_mRNA_sim41,IRF1_mRNA_sim42,IRF1_mRNA_sim43,IRF1_mRNA_sim44,IRF1_mRNA_sim45,IRF1_mRNA_sim46,IRF1_mRNA_sim47,IRF1_mRNA_sim48,IRF1_mRNA_sim49,IRF1_mRNA_sim50,IRF1_mRNA_sim51,IRF1_mRNA_sim52,IRF1_mRNA_sim53,IRF1_mRNA_sim54,IRF1_mRNA_sim55,IRF1_mRNA_sim56,IRF1_mRNA_sim57,IRF1_mRNA_sim58,IRF1_mRNA_sim59,IRF1_mRNA_sim60,IRF1_mRNA_sim61,IRF1_mRNA_sim62,IRF1_mRNA_sim63,IRF1_mRNA_sim64,IRF1_mRNA_sim65,IRF1_mRNA_sim66,IRF1_mRNA_sim67,IRF1_mRNA_sim68,IRF1_mRNA_sim69,IRF1_mRNA_sim70,IRF1_mRNA_sim71,IRF1_mRNA_sim72,IRF1_mRNA_sim73,IRF1_mRNA_sim74,IRF1_mRNA_sim75,IRF1_mRNA_sim76,IRF1_mRNA_sim77,IRF1_mRNA_sim78,IRF1_mRNA_sim79,IRF1_mRNA_sim80,IRF1_mRNA_sim81,IRF1_mRNA_sim82,IRF1_mRNA_sim83,IRF1_mRNA_sim84,IRF1_mRNA_sim85,IRF1_mRNA_sim86,IRF1_mRNA_sim87,IRF1_mRNA_sim88,IRF1_mRNA_sim89,IRF1_mRNA_sim90,IRF1_mRNA_sim91,IRF1_mRNA_sim92,IRF1_mRNA_sim93,IRF1_mRNA_sim94,IRF1_mRNA_sim95,IRF1_mRNA_sim96,IRF1_mRNA_sim97,IRF1_mRNA_sim98,IRF1_mRNA_sim99,IRF1_mRNA_sim100,IRF1_protein_sim1,IRF1_protein_sim2,IRF1_protein_sim3,IRF1_protein_sim4,IRF1_protein_sim5,IRF1_protein_sim6,IRF1_protein_sim7,IRF1_protein_sim8,IRF1_protein_sim9,IRF1_protein_sim10,IRF1_protein_sim11,IRF1_protein_sim12,IRF1_protein_sim13,IRF1_protein_sim14,IRF1_protein_sim15,IRF1_protein_sim16,IRF1_protein_sim17,IRF1_protein_sim18,IRF1_protein_sim19,IRF1_protein_sim20,IRF1_protein_sim21,IRF1_protein_sim22,IRF1_protein_sim23,IRF1_protein_sim24,IRF1_protein_sim25,IRF1_protein_sim26,IRF1_protein_sim27,IRF1_protein_sim28,IRF1_protein_sim29,IRF1_protein_sim30,IRF1_protein_sim31,IRF1_protein_sim32,IRF1_protein_sim33,IRF1_protein_sim34,IRF1_protein_sim35,IRF1_protein_sim36,IRF1_protein_sim37,IRF1_protein_sim38,IRF1_protein_sim39,IRF1_protein_sim40,IRF1_protein_sim41,IRF1_protein_sim42,IRF1_protein_sim43,IRF1_protein_sim44,IRF1_protein_sim45,IRF1_protein_sim46,IRF1_protein_sim47,IRF1_protein_sim48,IRF1_protein_sim49,IRF1_protein_sim50,IRF1_protein_sim51,IRF1_protein_sim52,IRF1_protein_sim53,IRF1_protein_sim54,IRF1_protein_sim55,IRF1_protein_sim56,IRF1_protein_sim57,IRF1_protein_sim58,IRF1_protein_sim59,IRF1_protein_sim60,IRF1_protein_sim61,IRF1_protein_sim62,IRF1_protein_sim63,IRF1_protein_sim64,IRF1_protein_sim65,IRF1_protein_sim66,IRF1_protein_sim67,IRF1_protein_sim68,IRF1_protein_sim69,IRF1_protein_sim70,IRF1_protein_sim71,IRF1_protein_sim72,IRF1_protein_sim73,IRF1_protein_sim74,IRF1_protein_sim75,IRF1_protein_sim76,IRF1_protein_sim77,IRF1_protein_sim78,IRF1_protein_sim79,IRF1_protein_sim80,IRF1_protein_sim81,IRF1_protein_sim82,IRF1_protein_sim83,IRF1_protein_sim84,IRF1_protein_sim85,IRF1_protein_sim86,IRF1_protein_sim87,IRF1_protein_sim88,IRF1_protein_sim89,IRF1_protein_sim90,IRF1_protein_sim91,IRF1_protein_sim92,IRF1_protein_sim93,IRF1_protein_sim94,IRF1_protein_sim95,IRF1_protein_sim96,IRF1_protein_sim97,IRF1_protein_sim98,IRF1_protein_sim99,IRF1_protein_sim100
0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.8857715430861726,0.04809619238476954,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,28.0,23.0,37.0,29.0,30.0,37.0,33.0,32.0,22.0,29.0,30.0,29.999999999999996,17.0,32.17944676612296,36.0,26.0,26.0,30.0,32.0,46.0,26.0,30.0,27.0,27.0,21.0,27.0,22.0,26.0,37.0,31.0,29.0,35.0,33.0,28.0,31.0,26.000000000000004,25.0,26.0,25.0,29.0,33.0,27.0,26.999999999999996,25.0,27.000000000000004,30.0,34.0,31.0,35.0,33.0,23.0,30.0,33.0,32.0,25.0,25.0,33.0,18.0,36.0,29.0,29.0,27.0,31.0,34.0,35.0,37.0,26.0,33.0,18.0,32.0,34.0,31.0,25.0,32.0,27.0,38.0,32.0,29.0,39.0,32.0,34.0,33.0,27.0,21.0,28.0,22.0,27.0,29.0,17.0,45.0,29.0,28.0,35.0,26.0,28.0,38.0,26.0,26.0,24.0,28.0
5.771543086172345,0.09619238476953908,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,55.0,49.0,65.0,58.0,49.0,60.0,59.0,58.0,64.0,63.0,64.0,54.0,16.0,59.0,62.0,54.0,53.0,52.99999999999999,60.0,109.00000000000001,55.0,57.0,61.0,48.0,45.0,35.0,47.0,53.0,76.0,41.0,62.0,69.0,67.0,51.0,63.0,52.0,58.0,61.0,45.0,46.0,53.0,50.0,47.0,62.0,55.0,59.0,61.0,62.0,74.0,58.0,49.0,47.0,57.0,66.0,50.0,44.0,68.0,44.0,41.0,56.0,54.0,46.0,53.0,64.0,38.0,67.0,64.0,50.0,52.0,30.0,54.0,58.0,55.0,53.99999999999999,62.0,51.0,70.0,61.0,63.0,55.0,52.0,58.0,49.0,45.0,51.0,62.0,66.0,51.0,17.0,77.0,58.0,56.0,72.0,57.0,60.99999999999999,54.0,56.0,55.0,42.0,62.0
8.657314629258517,0.14428857715430862,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,81.0,72.0,101.0,93.0,75.0,93.0,75.0,89.0,129.0,98.0,92.0,76.0,15.0,88.0,83.0,82.0,73.0,72.0,87.0,176.0,62.0,87.0,83.0,72.0,71.0,34.0,75.49735994688254,83.75833495422242,96.0,61.0,87.0,97.0,122.0,72.0,97.0,71.0,92.00000000000001,89.0,68.0,74.0,81.0,85.0,99.0,97.0,82.0,93.0,90.0,84.0,123.0,85.0,80.0,79.0,89.0,85.0,77.0,60.0,93.0,92.0,38.0,87.0,97.0,77.0,91.0,95.0,36.0,102.0,85.0,73.0,76.0,30.0,92.0,84.0,91.0,98.0,92.0,51.0,106.0,89.0,98.0,87.0,87.0,94.0,85.0,76.0,94.0,96.0,93.0,49.0,17.0,102.0,58.00000000000001,82.0,96.0,81.0,95.0,86.0,85.0,83.0,68.0,88.0
11.54308617234469,0.19238476953907815,1.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,104.0,96.0,129.0,119.0,95.0,122.0,88.0,131.0,167.0,123.0,133.0,101.0,14.0,116.0,109.0,101.0,102.0,100.00000000000001,120.0,238.0,61.0,133.0,117.0,91.0,89.0,32.0,96.0,117.0,131.0,85.0,113.99999999999999,123.0,204.0,100.0,118.0,110.0,157.0,110.0,100.0,98.0,108.0,118.0,157.0,154.0,109.99999999999999,113.0,120.0,102.0,174.0,111.0,106.0,104.99999999999999,110.0,100.0,129.0,85.0,118.0,112.0,36.99999999999999,114.0,154.0,104.0,111.0,118.0,34.0,127.0,101.0,102.0,95.0,35.0,120.0,118.0,114.0,111.00000000000001,134.0,50.0,145.0,144.0,128.0,118.0,144.0,112.0,113.0,100.0,162.0,129.0,130.0,48.0,16.0,99.0,56.0,135.0,122.0,116.0,142.0,112.0,116.0,111.0,92.99999999999999,121.0
14.428857715430862,0.24048096192384769,2.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0,4.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,154.0,132.0,149.0,140.0,93.0,174.0,85.0,186.0,247.0,185.0,157.0,125.0,13.0,135.0,130.0,103.00000000000001,131.0,128.0,143.0,299.0,61.0,156.0,196.0,119.0,117.0,31.0,121.0,164.0,149.0,108.0,139.0,154.0,279.0,135.0,147.0,138.0,214.0,140.0,129.0,124.0,138.0,179.0,269.0,210.0,138.0,142.0,137.0,121.0,222.76807450681096,131.0,120.0,130.0,106.0,125.0,209.0,111.0,139.0,133.0,37.0,135.0,200.0,129.0,139.0,139.0,69.00000000000001,168.0,121.0,119.00000000000001,126.0,69.0,152.0,155.0,140.0,144.0,185.0,63.0,201.0,224.0,149.0,133.0,209.0,155.0,127.0,134.0,214.0,147.0,165.0,47.0,16.0,95.0,55.0,181.0,153.0,139.0,167.0,114.99999999999999,146.0,134.0,156.0,144.0
17.314629258517034,0.28857715430861725,2.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0,4.0,2.0,2.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,2.0,4.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,0.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,195.0,154.0,185.0,170.0,90.0,229.0,85.0,234.0,342.0,239.99999999999997,191.0,143.0,13.0,147.0,197.0,134.0,149.0,151.0,166.0,353.0,60.0,177.0,275.0,138.72849205396457,143.0,30.0,146.0,257.0,172.0,134.0,158.0,198.0,344.0,159.0,166.0,161.0,283.0,138.0,166.0,159.0,166.0,226.0,392.0,290.0,157.0,168.0,177.0,146.0,269.0,159.0,146.0,150.0,126.0,169.0,282.0,135.0,175.0,187.0,35.0,129.0,247.0,155.0,170.0,171.0,138.0,213.00000000000003,143.0,151.0,150.0,122.0,169.0,213.0,168.0,162.0,235.0,88.0,249.0,291.0,167.99999999999997,129.0,272.0,225.0,160.0,187.0,256.0,168.0,185.0,47.0,16.0,94.0,63.0,239.0,174.0,163.0,182.0,113.0,176.0,161.0,189.0,180.0
20.200400801603205,0.3366733466933868,3.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,3.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0,0.0,2.0,2.0,2.0,2.0,4.0,3.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,0.0,3.0,3.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,278.0,179.0,206.0,190.0,97.0,283.0,117.0,285.0,444.0,295.00000000000006,240.0,173.0,37.0,178.0,276.0,159.0,165.0,173.0,187.0,396.0,58.0,211.0,339.0,164.0,168.0,30.0,178.0,331.0,167.0,158.0,182.0,223.0,427.0,183.0,204.0,208.0,335.0,134.0,217.0,211.0,195.0,289.0,508.0,380.0,187.0,220.0,228.0,177.42469816955253,325.0,185.0,179.0,167.0,149.0,232.0,342.0,173.0,210.0,249.0,33.0,126.0,272.0,171.0,215.49128823086832,203.0,163.0,316.0,159.0,177.0,184.0,177.0,195.0,262.0,186.0,186.0,289.0,103.0,292.0,366.0,197.99999999999997,124.0,328.0,299.0,198.0,243.0,286.0,180.0,180.0,56.0,15.0,89.0,95.0,281.0,198.0,194.0,211.0,109.0,204.0,197.0,245.0,195.0
23.08617234468938,0.3847695390781563,3.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,3.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,2.0,4.0,4.0,1.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,0.0,0.0,3.0,0.0,2.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,0.0,3.0,4.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,2.0,345.0,210.0,226.0,207.0,120.0,358.0,169.0,337.0,575.0,338.0,264.0,209.99999999999997,65.0,209.0,329.0,184.0,187.0,196.0,212.99999999999997,442.0,53.0,263.0,414.0,191.0,196.0,29.0,193.0,386.0,163.0,190.0,208.34299252257296,288.00000000000006,502.0,204.0,259.0,266.0,415.0,131.0,258.0,271.0,266.0,351.0,607.0,498.00000000000006,223.0,279.0,292.0,262.0,408.0,206.0,205.0,192.0,163.0,285.0,413.0,199.0,270.0,301.0,32.0,122.0,314.0,166.0,250.0,212.0,186.0,444.5546098132479,171.0,222.0,206.0,231.0,216.0,312.0,199.0,212.0,332.0,132.0,357.0,441.0,219.0,123.00000000000001,407.0,389.0,262.0,282.0,315.0,207.0,170.0,83.0,13.999999999999998,96.0,127.0,329.0,225.0,212.0,226.0,105.0,223.0,253.0,296.0,226.0
25.971943887775552,0.43286573146292584,3.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,5.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,3.0,3.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,3.0,4.0,1.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,4.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,0.0,4.0,6.0,3.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,3.0,2.0,2.0,420.0,232.0,239.0,232.0,145.0,462.0,237.0,394.0,679.0,401.0,305.0,248.0,98.0,261.0,369.0,206.0,206.0,222.0,233.0,499.0,51.0,310.0,493.0,219.0,213.0,29.0,215.0,438.0,159.0,230.0,237.0,344.0,553.0,220.0,306.0,317.0,507.0,146.0,320.0,314.0,305.0,401.00000000000006,703.0,582.0,255.0,351.0,351.0,334.0,482.0,240.0,228.0,222.0,189.0,333.0,482.0,230.0,327.0,351.0,32.0,119.0,404.0,160.0,288.0,242.0,207.0,552.41311841216,246.0,267.0,227.0,254.0,230.0,368.0,222.0,232.0,385.0,188.0,391.0,513.0,244.0,116.0,521.0,505.0,331.0,356.0,317.0,224.0,162.0,117.0,14.0,122.0,151.0,348.0,270.0,257.0,244.0,99.0,231.0,321.0,330.0,283.0
