time_min,time_hours,S_mean,A_mean,Ap_c_mean,Ap_n_mean,r_mean,R_mean,f_mean,F_mean,a_mean
0.0,0.0,100.0,100000.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0
2.8857715430861726,0.04809619238476954,94.3,131.80338842678484,97008.3243555479,2853.4722560253285,0.9,276.0,1.0,27.4,1.0
5.771543086172345,0.09619238476953908,88.2,141.8580147391946,94389.44198526081,5448.4,1.1,528.0831900536596,2.3,72.1,1.0
8.657314629258517,0.14428857715430862,83.7,149.37244557271862,92382.38427461308,7423.943279814191,1.7,845.8,5.4,177.7,1.0
11.54308617234469,0.19238476953907815,78.8,158.53970015119316,90833.93113315813,8948.429166690705,3.0,1447.2,10.4,405.0,1.0
14.428857715430862,0.24048096192384769,73.5,166.8723420872811,89667.79988095179,10132.627776960946,4.8,2431.6016010677868,15.0,757.6,1.5
17.314629258517034,0.28857715430861725,69.0,185.52091483140563,88868.55881436724,10994.920270801373,7.4,3994.149285430119,19.4,1236.9,1.6
20.200400801603205,0.3366733466933868,66.0,190.9111212497647,88312.63611598215,11676.950023740224,10.2,6258.8,25.0,1836.2,1.8
23.08617234468938,0.3847695390781563,62.7,188.1398639100092,87996.72589498285,12172.234241107139,12.4,9214.46823233499,28.1,2548.0,2.0
25.971943887775552,0.43286573146292584,59.6,209.30638201643305,87777.52590451005,12552.867713473512,16.6,12811.175689366162,33.2,3354.4598986972196,2.1
28.857715430861724,0.48096192384769537,54.9,239.05620102431158,87668.62458819457,12856.419210781123,20.0,17271.26457509979,36.8,4274.0,2.5
31.743486973947896,0.5290581162324649,52.2,242.42297908092414,87690.98338151778,13071.093639401286,22.7,22359.14379182249,40.2,5266.0,2.4
34.62925851703407,0.5771543086172345,49.0,266.0058606718923,87704.07486916303,13295.119270165078,26.7,27954.142257590436,44.08086683595694,6298.5,2.5
37.51503006012024,0.625250501002004,46.5,280.9553046596726,87783.59731608373,13479.785595065332,30.1,34325.291208765346,47.6,7421.6,2.6
40.40080160320641,0.6733466933867736,43.8,316.09907441698954,87928.2735806769,13614.127344906117,34.4,41302.6371004034,52.5,8652.2,2.8
43.28657314629258,0.7214428857715431,41.5,357.25735753300745,88096.042642467,13746.1,37.5,49017.54551858427,56.8,9985.50545289693,2.9
46.17234468937876,0.7695390781563126,39.1,426.28658960003304,88280.5426433336,13853.870767066375,38.5,56920.14618961634,60.2,11377.42311147709,3.4
49.05811623246493,0.8176352705410822,36.8,506.538267735149,88573.81407926654,13934.747652998325,42.8,65328.401595142015,63.4,12801.832260808373,3.7
51.943887775551104,0.8657314629258517,34.4,651.6319980307774,88845.86800196923,14044.8,47.2,74223.66894455734,68.5,14323.5,4.1
54.829659318637276,0.9138276553106213,32.6,873.6080175505655,89138.35680497347,14114.035177475942,48.6,83521.91016274416,71.3,15911.6,4.5
57.71543086172345,0.9619238476953907,30.4,1170.5296062384882,89451.08253679312,14158.787856968378,51.0,92928.5290734767,73.4,17515.2,4.5
60.60120240480962,1.0100200400801602,29.0,1558.1740227263433,89681.28470224954,14184.74127502413,54.5,102435.44318636297,74.5,19119.21313798544,4.7
63.48697394789579,1.0581162324649298,27.8,2141.375794430577,89731.72420556941,14262.3,54.9,111994.06316904367,77.7,20753.8,5.4
66.37274549098197,1.1062124248496994,26.1,2869.044243285778,89785.69937022662,14291.356386487601,56.5,121486.66020183938,79.0,22387.3,5.3
69.25851703406813,1.154308617234469,24.9,3865.218841996552,89621.96315616959,14273.718147672538,58.0,130877.88820401656,78.9,24025.7,5.6
72.14428857715431,1.2024048096192386,23.5,5039.476670622108,89329.80573460284,14227.79172934991,59.4,140049.4821332475,82.3,25632.746150343748,5.8
