,x,y,type,region,cell,frame
0,1301.0,871.0,Nascent,Cytoplasm,1,1
1,1453.0,874.0,Nascent,Nucleus,1,1
2,1423.0,890.0,Nascent,Nucleus,1,1
3,1409.0,905.0,Nascent,Nucleus,1,1
4,1553.0,914.0,Nascent,Nucleus,1,1
5,1504.0,935.0,Nascent,Nucleus,1,1
6,1436.0,938.0,Nascent,Nucleus,1,1
7,1444.0,963.0,Nascent,Nucleus,1,1
8,1422.0,964.0,Nascent,Nucleus,1,1
9,1493.0,964.0,Nascent,Nucleus,1,1
10,1408.0,966.0,Nascent,Cytoplasm,1,1
11,1335.0,986.0,Nascent,Cytoplasm,1,1
12,1629.0,987.0,Nascent,Cytoplasm,2,1
13,1304.0,994.0,Nascent,Cytoplasm,1,1
14,1719.0,1002.0,Nascent,Cytoplasm,2,1
15,1680.0,1003.0,Nascent,Cytoplasm,2,1
16,1660.0,1006.0,Nascent,Cytoplasm,2,1
17,1678.0,1007.0,Nascent,Cytoplasm,2,1
18,1395.0,1012.0,Nascent,Cytoplasm,1,1
19,1694.0,1017.0,Nascent,Cytoplasm,2,1
20,1752.0,1018.0,Nascent,Cytoplasm,2,1
21,1277.0,1025.0,Nascent,Cytoplasm,1,1
22,1650.0,1026.0,Nascent,Cytoplasm,2,1
23,1682.0,1029.0,Nascent,Cytoplasm,2,1
24,1699.0,1029.0,Nascent,Cytoplasm,2,1
25,1386.0,1030.0,Nascent,Cytoplasm,1,1
26,1650.0,1034.0,Nascent,Cytoplasm,2,1
27,1655.0,1038.0,Nascent,Cytoplasm,2,1
28,1640.0,1042.0,Nascent,Cytoplasm,2,1
29,1743.0,1043.0,Nascent,Cytoplasm,2,1
30,1632.0,1051.0,Nascent,Cytoplasm,2,1
31,1681.0,1055.0,Nascent,Cytoplasm,2,1
32,1626.0,1056.0,Nascent,Cytoplasm,2,1
33,1671.0,1056.0,Nascent,Cytoplasm,2,1
34,1558.0,1073.0,Nascent,Cytoplasm,2,1
35,1586.0,1075.0,Nascent,Cytoplasm,2,1
36,1707.0,1077.0,Nascent,Cytoplasm,2,1
37,1581.0,1078.0,Nascent,Cytoplasm,2,1
38,1638.0,1083.0,Nascent,Nucleus,2,1
39,1464.0,1086.0,Nascent,Cytoplasm,1,1
40,1615.0,1086.0,Nascent,Nucleus,2,1
41,1531.0,1091.0,Nascent,Cytoplasm,2,1
42,1640.0,1091.0,Nascent,Nucleus,2,1
43,1611.0,1094.0,Nascent,Nucleus,2,1
44,1689.0,1095.0,Nascent,Nucleus,2,1
45,1410.0,1101.0,Nascent,Cytoplasm,1,1
46,1632.0,1104.0,Nascent,Nucleus,2,1
47,1725.0,1105.0,Nascent,Cytoplasm,2,1
48,1598.0,1109.0,Nascent,Nucleus,2,1
49,1551.0,1110.0,Nascent,Cytoplasm,2,1
50,1586.0,1115.0,Nascent,Nucleus,2,1
51,1685.0,1118.0,Nascent,Nucleus,2,1
52,1596.0,1119.0,Nascent,Nucleus,2,1
53,1502.0,1121.0,Nascent,Cytoplasm,2,1
54,1591.0,1126.0,Nascent,Nucleus,2,1
55,1599.0,1130.0,Nascent,Nucleus,2,1
56,1611.0,1133.0,Nascent,Nucleus,2,1
57,1701.0,1134.0,Nascent,Cytoplasm,2,1
58,1640.0,1150.0,Nascent,Nucleus,2,1
59,1551.0,1154.0,Nascent,Nucleus,2,1
60,1562.0,1156.0,Nascent,Nucleus,2,1
61,1564.0,1163.0,Nascent,Nucleus,2,1
62,1579.0,1166.0,Nascent,Nucleus,2,1
63,1622.0,1169.0,Nascent,Nucleus,2,1
64,1691.0,1171.0,Nascent,Cytoplasm,2,1
65,1636.0,1172.0,Nascent,Nucleus,2,1
66,1496.0,1194.0,Mature,Cytoplasm,2,1
67,1507.0,1198.0,Nascent,Cytoplasm,2,1
68,1520.0,1197.0,Nascent,Cytoplasm,2,1
69,1691.0,1196.0,Nascent,Cytoplasm,2,1
70,1526.0,1197.0,Nascent,Cytoplasm,2,1
71,1577.0,1197.0,Nascent,Nucleus,2,1
72,1581.0,1205.0,Nascent,Nucleus,2,1
73,1666.0,1208.0,Nascent,Cytoplasm,2,1
74,1513.0,1221.0,Nascent,Cytoplasm,2,1
75,1593.0,1223.0,Nascent,Nucleus,2,1
76,1466.0,1234.0,Nascent,Cytoplasm,2,1
77,1631.0,1235.0,Nascent,Nucleus,2,1
78,1448.0,1236.0,Nascent,Cytoplasm,2,1
79,1524.0,1239.0,Nascent,Cytoplasm,2,1
80,1613.0,1246.0,Nascent,Cytoplasm,2,1
81,1594.0,1247.0,Nascent,Nucleus,2,1
82,1590.0,1250.0,Nascent,Nucleus,2,1
83,1529.0,1254.0,Nascent,Cytoplasm,2,1
84,1522.0,1267.0,Nascent,Cytoplasm,2,1
85,1546.0,1270.0,Nascent,Cytoplasm,2,1
86,496.0,1452.0,Nascent,Cytoplasm,3,1
87,301.0,1462.0,Nascent,Nucleus,3,1
88,1523.0,828.0,Nascent,Cytoplasm,1,1
89,1484.0,874.0,Nascent,Nucleus,1,1
90,1753.0,1018.0,Nascent,Cytoplasm,2,1
91,1658.0,1049.0,Nascent,Cytoplasm,2,1
92,1751.0,1063.0,Nascent,Cytoplasm,2,1
93,1697.0,1101.0,Nascent,Cytoplasm,2,1
94,1707.0,1128.0,Nascent,Cytoplasm,2,1
95,1571.0,1132.0,Nascent,Nucleus,2,1
96,1601.0,1141.0,Nascent,Nucleus,2,1
97,1488.0,1147.0,Nascent,Cytoplasm,2,1
98,1496.0,1147.0,Nascent,Cytoplasm,2,1
99,1583.0,1155.0,Nascent,Nucleus,2,1
100,1549.0,1165.0,Nascent,Nucleus,2,1
101,1608.0,1169.0,Nascent,Nucleus,2,1
102,1537.0,1180.0,Nascent,Nucleus,2,1
103,1461.0,1230.0,Nascent,Cytoplasm,2,1
104,1613.0,1247.0,Nascent,Cytoplasm,2,1
105,1548.0,1262.0,Nascent,Cytoplasm,2,1
106,1552.0,1276.0,Nascent,Cytoplasm,2,1
107,1414.0,881.0,Nascent,Nucleus,1,1
108,1415.0,880.0,Nascent,Nucleus,1,1
109,1467.0,896.0,Nascent,Nucleus,1,1
110,1467.0,896.0,Nascent,Nucleus,1,1
111,1554.0,898.0,Nascent,Nucleus,1,1
112,1320.0,908.0,Nascent,Cytoplasm,1,1
113,1320.0,908.0,Nascent,Cytoplasm,1,1
114,1457.0,914.0,Nascent,Nucleus,1,1
115,1457.0,914.0,Nascent,Nucleus,1,1
116,1679.0,965.0,Nascent,Cytoplasm,2,1
117,1680.0,965.0,Nascent,Cytoplasm,2,1
118,1641.0,993.0,Nascent,Cytoplasm,2,1
119,1641.0,993.0,Nascent,Cytoplasm,2,1
120,1630.0,1029.0,Nascent,Cytoplasm,2,1
121,1631.0,1027.0,Nascent,Cytoplasm,2,1
122,1630.0,1030.0,Nascent,Cytoplasm,2,1
123,1620.0,1031.0,Nascent,Cytoplasm,2,1
124,1621.0,1030.0,Nascent,Cytoplasm,2,1
125,1629.0,1066.0,Nascent,Nucleus,2,1
126,1628.0,1068.0,Nascent,Nucleus,2,1
127,1630.0,1066.0,Nascent,Nucleus,2,1
128,1680.0,1067.0,Nascent,Cytoplasm,2,1
129,1684.0,1069.0,Nascent,Cytoplasm,2,1
130,1681.0,1067.0,Nascent,Cytoplasm,2,1
131,1609.0,1071.0,Nascent,Cytoplasm,2,1
132,1610.0,1071.0,Nascent,Cytoplasm,2,1
133,1609.0,1071.0,Nascent,Cytoplasm,2,1
134,1602.0,1080.0,Nascent,Nucleus,2,1
135,1602.0,1080.0,Nascent,Nucleus,2,1
136,1695.0,1089.0,Nascent,Cytoplasm,2,1
137,1696.0,1089.0,Nascent,Cytoplasm,2,1
138,1605.0,1092.0,Nascent,Nucleus,2,1
139,1605.0,1092.0,Nascent,Nucleus,2,1
140,1546.0,1093.0,Nascent,Cytoplasm,2,1
141,1546.0,1093.0,Nascent,Cytoplasm,2,1
142,1553.0,1094.0,Nascent,Cytoplasm,2,1
143,1550.0,1094.0,Nascent,Cytoplasm,2,1
144,1553.0,1096.0,Nascent,Cytoplasm,2,1
145,1611.0,1095.0,Nascent,Nucleus,2,1
146,1658.0,1095.0,Nascent,Nucleus,2,1
147,1657.0,1096.0,Nascent,Nucleus,2,1
148,1588.0,1096.0,Nascent,Nucleus,2,1
149,1587.0,1097.0,Nascent,Cytoplasm,2,1
150,1528.0,1103.0,Nascent,Cytoplasm,2,1
151,1528.0,1103.0,Nascent,Cytoplasm,2,1
152,1527.0,1101.0,Nascent,Cytoplasm,2,1
153,1600.0,1101.0,Nascent,Nucleus,2,1
154,1600.0,1101.0,Nascent,Nucleus,2,1
155,1530.0,1118.0,Nascent,Cytoplasm,2,1
156,1531.0,1119.0,Nascent,Cytoplasm,2,1
157,1643.0,1120.0,Nascent,Nucleus,2,1
158,1643.0,1121.0,Nascent,Nucleus,2,1
159,1505.0,1132.0,Nascent,Cytoplasm,2,1
160,1505.0,1130.0,Nascent,Cytoplasm,2,1
161,1519.0,1136.0,Nascent,Cytoplasm,2,1
162,1518.0,1137.0,Nascent,Cytoplasm,2,1
163,1679.0,1136.0,Nascent,Nucleus,2,1
164,1678.0,1136.0,Nascent,Nucleus,2,1
165,1551.0,1143.0,Nascent,Cytoplasm,2,1
