,x,y,type,region,cell,frame
0,741.0,453.0,Nascent,Cytoplasm,1,1
1,858.0,485.0,Nascent,Cytoplasm,1,1
2,874.0,546.0,Nascent,Cytoplasm,1,1
3,1024.0,619.0,Nascent,Cytoplasm,1,1
4,1002.0,628.0,Nascent,Cytoplasm,1,1
5,1104.0,635.0,Nascent,Cytoplasm,1,1
6,1165.0,667.0,Nascent,Cytoplasm,1,1
7,1146.0,734.0,Nascent,Nucleus,1,1
8,1089.0,646.0,Nascent,Nucleus,1,1
9,1025.0,697.0,Nascent,Nucleus,1,1
10,1015.0,698.0,Nascent,Nucleus,1,1
11,1186.0,704.0,Nascent,Cytoplasm,1,1
12,1262.0,719.0,Nascent,Cytoplasm,1,1
13,1317.0,724.0,Nascent,Cytoplasm,1,1
14,1012.0,644.0,Nascent,Cytoplasm,1,1
15,955.0,701.0,Nascent,Cytoplasm,1,1
16,1192.0,243.0,Nascent,Cytoplasm,3,2
17,1259.0,251.0,Nascent,Cytoplasm,3,2
18,1248.0,280.0,Nascent,Cytoplasm,3,2
19,1290.0,287.0,Nascent,Cytoplasm,3,2
20,1216.0,294.0,Nascent,Cytoplasm,3,2
21,1297.0,296.0,Nascent,Cytoplasm,3,2
22,1230.0,323.0,Nascent,Cytoplasm,3,2
23,1330.0,324.0,Nascent,Cytoplasm,3,2
24,1471.0,331.0,Nascent,Cytoplasm,3,2
25,1175.0,342.0,Nascent,Cytoplasm,3,2
26,1304.0,414.0,Nascent,Cytoplasm,3,2
27,1425.0,454.0,Nascent,Nucleus,3,2
28,1452.0,458.0,Nascent,Cytoplasm,3,2
29,1198.0,483.0,Nascent,Cytoplasm,3,2
30,1116.0,486.0,Nascent,Cytoplasm,3,2
31,1204.0,515.0,Nascent,Cytoplasm,3,2
32,1197.0,520.0,Nascent,Cytoplasm,3,2
33,1135.0,522.0,Nascent,Cytoplasm,3,2
34,1089.0,543.0,Nascent,Cytoplasm,3,2
35,1282.0,551.0,Nascent,Nucleus,3,2
36,1092.0,553.0,Nascent,Cytoplasm,3,2
37,1122.0,589.0,Nascent,Cytoplasm,3,2
38,1352.0,609.0,Nascent,Cytoplasm,3,2
39,1400.0,613.0,Nascent,Cytoplasm,3,2
40,1716.0,1034.0,Nascent,Cytoplasm,4,2
41,139.0,1036.0,Nascent,Nucleus,1,2
42,147.0,1040.0,Nascent,Nucleus,1,2
43,1610.0,1085.0,Nascent,Nucleus,4,2
44,1533.0,1193.0,Nascent,Cytoplasm,4,2
45,1203.0,186.0,Nascent,Cytoplasm,3,2
46,1224.0,323.0,Nascent,Cytoplasm,3,2
47,1173.0,376.0,Nascent,Cytoplasm,3,2
48,1368.0,448.0,Nascent,Nucleus,3,2
49,1116.0,487.0,Nascent,Cytoplasm,3,2
50,1283.0,551.0,Nascent,Nucleus,3,2
51,142.0,963.0,Nascent,Cytoplasm,1,2
52,141.0,1036.0,Nascent,Nucleus,1,2
53,92.0,1172.0,Nascent,Cytoplasm,1,2
54,1179.0,247.0,Nascent,Cytoplasm,3,2
55,1291.0,259.0,Nascent,Cytoplasm,3,2
56,1241.0,301.0,Nascent,Cytoplasm,3,2
57,1538.0,343.0,Nascent,Cytoplasm,3,2
58,1528.0,372.0,Nascent,Cytoplasm,3,2
59,1339.0,405.0,Nascent,Nucleus,3,2
60,1163.0,431.0,Nascent,Cytoplasm,3,2
61,1448.0,480.0,Nascent,Cytoplasm,3,2
62,1138.0,506.0,Nascent,Cytoplasm,3,2
63,1136.0,507.0,Nascent,Cytoplasm,3,2
64,1197.0,521.0,Nascent,Cytoplasm,3,2
65,1084.0,530.0,Nascent,Cytoplasm,3,2
