cell,frame,type,count
0,43,Nascent,1
1,0,Nascent,50
1,1,Nascent,14
1,1,No Spots,1
1,2,Nascent,35
1,2,No Spots,1
1,3,Nascent,204
1,4,Mature,156
1,4,Nascent,157
1,4,Transcription Site,6
1,5,Nascent,32
1,6,Mature,65
1,6,Nascent,161
1,6,No Spots,1
1,6,Transcription Site,1
1,7,Nascent,44
1,8,Mature,53
1,8,Nascent,141
1,8,No Spots,1
1,9,Mature,28
1,9,Nascent,105
1,9,No Spots,1
1,9,Transcription Site,1
1,10,Mature,10
1,10,Nascent,122
1,10,No Spots,1
1,11,Nascent,11
1,11,No Spots,1
1,12,Mature,7
1,12,Nascent,34
1,12,No Spots,1
1,13,Nascent,23
1,13,No Spots,1
1,14,Nascent,46
1,15,Mature,9
1,15,Nascent,148
1,15,Transcription Site,1
1,16,Mature,194
1,16,Nascent,369
1,17,Mature,177
1,17,Nascent,242
1,18,Mature,21
1,18,Nascent,79
1,19,Nascent,15
1,20,Nascent,54
1,20,Transcription Site,1
1,21,Mature,8
1,21,Nascent,21
1,22,Nascent,64
1,23,Mature,26
1,23,Nascent,51
1,24,Mature,8
1,24,Nascent,142
1,24,Transcription Site,1
1,25,Nascent,13
1,26,Nascent,50
1,27,Mature,24
1,27,Nascent,97
1,27,No Spots,1
1,27,Transcription Site,3
1,28,Mature,10
1,28,Nascent,36
1,29,Nascent,32
1,30,Nascent,17
1,30,No Spots,1
1,31,Mature,74
1,31,Nascent,3
1,32,Mature,73
1,32,Nascent,153
1,32,Transcription Site,1
1,33,Mature,12
1,33,Nascent,102
1,34,Nascent,52
1,35,Nascent,36
1,36,Mature,12
1,36,Nascent,48
1,36,Transcription Site,1
1,37,Nascent,21
1,37,No Spots,1
1,38,Nascent,35
1,39,Mature,41
1,39,Nascent,130
1,40,Nascent,19
1,41,Nascent,21
1,42,Nascent,40
1,43,Nascent,85
1,44,Nascent,24
1,45,Nascent,48
1,46,Mature,38
1,46,Nascent,240
1,47,Nascent,24
1,48,Nascent,43
1,49,Mature,19
1,49,Nascent,103
1,50,Nascent,11
1,51,Nascent,53
1,52,Mature,14
1,52,Nascent,49
1,53,Nascent,82
1,54,Nascent,50
1,55,Nascent,31
1,56,Nascent,30
1,56,No Spots,2
1,57,Mature,108
1,57,Nascent,75
1,58,Nascent,22
1,59,Mature,19
1,59,Nascent,71
1,60,Nascent,25
1,61,Mature,7
1,61,Nascent,58
1,62,Nascent,76
1,63,Nascent,3
1,64,Nascent,43
1,65,Nascent,5
1,65,No Spots,1
1,66,Nascent,25
1,67,Mature,19
1,67,Nascent,130
1,68,Mature,11
1,68,Nascent,41
1,69,Mature,37
1,69,Nascent,112
1,69,No Spots,1
1,70,Mature,21
1,70,Nascent,187
1,71,Nascent,62
1,72,Mature,9
1,72,Nascent,22
1,72,Transcription Site,1
1,73,Nascent,12
1,73,No Spots,1
1,74,Nascent,19
1,74,No Spots,1
1,75,Mature,9
1,75,Nascent,90
1,76,Nascent,5
1,76,No Spots,1
1,77,Mature,7
1,77,Nascent,91
1,78,Mature,12
1,78,Nascent,24
1,79,Nascent,36
1,80,Mature,25
1,80,Nascent,212
1,80,Transcription Site,1
1,81,Mature,22
1,81,Nascent,77
1,81,Transcription Site,2
1,82,Mature,57
1,82,Nascent,68
1,83,Nascent,13
1,84,Nascent,85
1,85,Nascent,44
1,86,Nascent,87
1,88,Nascent,81
1,89,Nascent,21
1,90,Nascent,12
1,90,No Spots,1
1,91,Nascent,85
1,91,No Spots,1
1,92,Nascent,46
1,93,Nascent,11
1,93,No Spots,1
1,94,Nascent,91
1,94,No Spots,1
1,95,Nascent,35
1,96,Mature,33
1,96,Nascent,198
1,96,Transcription Site,2
1,97,Nascent,24
1,98,Nascent,7
1,99,Mature,9
1,99,Nascent,75
2,0,Nascent,31
2,1,Nascent,58
2,1,No Spots,1
2,2,Mature,23
2,2,Nascent,62
2,2,Transcription Site,1
2,3,Nascent,20
2,4,Nascent,17
2,4,No Spots,1
2,5,Nascent,34
2,5,No Spots,1
2,6,Nascent,10
2,6,No Spots,1
2,6,Transcription Site,1
2,7,Nascent,2
2,8,Nascent,29
2,9,Nascent,50
2,10,Nascent,39
2,11,Nascent,61
2,12,Mature,21
2,12,Nascent,142
2,13,Nascent,14
2,13,No Spots,1
2,14,Mature,42
2,14,Nascent,67
2,15,Nascent,6
2,16,Mature,7
2,16,Nascent,62
2,16,Transcription Site,3
2,17,Nascent,29
2,18,Nascent,16
2,19,Nascent,8
2,20,Nascent,54
2,21,Nascent,10
2,22,Nascent,28
2,23,Nascent,43
2,24,Nascent,10
2,25,Nascent,25
2,26,Mature,9
2,26,Nascent,87
2,27,Nascent,77
2,28,Nascent,9
2,28,No Spots,1
2,29,Nascent,5
2,30,Nascent,85
2,30,Transcription Site,2
2,31,Mature,17
2,31,Nascent,60
2,32,Mature,96
2,32,Nascent,92
2,33,Nascent,79
2,35,Nascent,73
2,36,Mature,14
2,36,Nascent,100
2,36,No Spots,1
2,36,Transcription Site,1
2,37,Nascent,59
2,38,Mature,134
2,38,Nascent,108
2,39,Mature,32
2,39,Nascent,88
2,39,Transcription Site,1
2,40,Nascent,57
2,41,Mature,42
2,41,Nascent,122
2,41,Transcription Site,1
2,42,Nascent,112
2,42,Transcription Site,2
2,43,Mature,16
2,43,Nascent,121
2,44,Nascent,5
2,45,Nascent,15
2,46,Nascent,190
2,47,Nascent,35
2,48,Nascent,2
2,49,Nascent,85
2,50,Nascent,21
2,51,Mature,152
2,51,Nascent,37
2,52,Nascent,31
2,52,Transcription Site,1
2,53,Nascent,10
2,54,Nascent,4
2,55,Nascent,47
2,56,Nascent,30
2,56,No Spots,1
2,57,Mature,93
2,57,Nascent,81
2,58,Nascent,5
2,59,Nascent,36
2,60,Mature,22
2,60,Nascent,55
2,60,Transcription Site,3
2,61,Mature,37
2,61,Nascent,147
2,61,Transcription Site,2
2,62,Mature,18
2,62,Nascent,27
2,62,No Spots,1
2,62,Transcription Site,1
2,63,Nascent,5
2,64,Nascent,36
2,65,Nascent,25
2,66,Mature,34
2,66,Nascent,100
2,67,Nascent,36
2,68,Nascent,9
2,69,Mature,15
2,69,Nascent,110
2,70,Nascent,37
2,71,Mature,76
2,71,Nascent,132
2,71,Transcription Site,3
2,72,No Spots,1
2,73,Nascent,2
2,74,Nascent,1
2,75,Mature,7
2,75,Nascent,53
2,75,No Spots,1
2,75,Transcription Site,1
2,76,Nascent,14
2,77,Nascent,28
2,78,No Spots,1
2,79,Mature,11
2,79,Nascent,77
2,79,No Spots,1
2,80,Nascent,91
2,80,Transcription Site,1
2,81,Nascent,193
2,82,Nascent,43
2,82,No Spots,1
2,83,Nascent,12
2,84,Nascent,2
2,85,Mature,32
2,85,Nascent,65
2,88,Nascent,37
2,89,Nascent,41
2,89,No Spots,1
2,89,Transcription Site,1
2,90,Nascent,120
2,91,Mature,22
2,91,Nascent,40
2,92,Mature,9
2,92,Nascent,71
2,93,Mature,68
2,93,Nascent,457
2,93,No Spots,1
2,94,Nascent,70
2,95,Nascent,86
2,96,Mature,14
2,96,Nascent,72
2,97,Mature,13
2,97,Nascent,100
2,98,Nascent,12
2,99,Mature,8
2,99,Nascent,102
3,0,Nascent,8
3,1,Mature,17
3,1,Nascent,134
3,1,Transcription Site,2
3,2,Nascent,11
3,3,Nascent,3
3,3,No Spots,1
3,4,Mature,8
3,4,Nascent,63
3,5,Nascent,20
3,6,Nascent,26
3,7,Nascent,30
3,8,Mature,319
3,8,Nascent,21
3,9,Nascent,4
