Time,mRNA_1,mRNA_2,mRNA_3,mRNA_4,mRNA_5,mRNA_6,mRNA_7,mRNA_8,mRNA_9,mRNA_10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24242424242424243,3.0,3.0,1.0,1.0,4.0,1.0,2.0,3.0,2.0,3.0
0.48484848484848486,1.0,2.0,2.0,4.0,3.0,3.0,1.0,3.0,3.0,1.0
0.7272727272727273,2.0,2.0,1.0,4.0,5.0,4.0,1.0,3.0,4.0,3.0
0.9696969696969697,3.0,2.0,1.0,2.0,4.0,1.0,3.0,2.0,2.0,4.0
1.2121212121212122,6.0,2.0,2.0,3.0,2.0,4.0,2.0,1.0,1.0,5.0
1.4545454545454546,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0
1.696969696969697,4.0,3.0,1.0,3.0,3.0,3.0,2.0,5.0,1.0,6.0
1.9393939393939394,6.0,1.0,2.0,3.0,3.0,6.0,3.0,3.0,2.0,3.0
2.1818181818181817,2.0,6.0,3.0,2.0,6.0,1.0,8.0,5.0,1.0,5.0
2.4242424242424243,3.0,4.0,2.0,1.0,2.0,4.0,5.0,4.0,1.0,5.0
2.6666666666666665,3.0,2.0,2.0,4.0,0.0,5.0,4.0,5.0,0.0,7.0
2.909090909090909,2.0,4.0,1.0,4.0,1.0,5.0,2.0,5.0,1.0,4.0
3.1515151515151514,4.0,2.0,1.0,4.0,2.0,3.0,5.0,1.0,3.0,2.0
3.393939393939394,4.0,4.0,1.0,5.0,1.0,3.0,6.0,2.0,1.0,4.0
3.6363636363636362,3.0,3.0,1.0,5.0,3.0,3.0,2.0,2.0,1.0,6.0
3.878787878787879,2.0,2.0,4.0,6.0,3.0,4.0,0.0,1.0,1.0,2.0
4.121212121212121,2.0,5.0,1.0,7.0,0.0,5.0,1.0,4.0,1.0,3.0
4.363636363636363,3.0,4.0,2.0,6.0,0.0,4.0,2.0,4.0,2.0,2.0
